description,proteins,fats,carbohydrates,calories,answer
cookies butter commercially prepared enriched,6.1,18.8,68.9,467.0,"{""proteins"": 6.1, ""fats"": 18.8, ""carbohydrates"": 68.9, ""calories"": 467.0}"
cookies fudge cake-type (includes trolley cakes),5.0,3.7,78.3,349.0,"{""proteins"": 5.0, ""fats"": 3.7, ""carbohydrates"": 78.3, ""calories"": 349.0}"
cookies chocolate wafers,6.6,14.2,72.7,433.0,"{""proteins"": 6.6, ""fats"": 14.2, ""carbohydrates"": 72.7, ""calories"": 433.0}"
cookies chocolate chip commercially prepared regular lower fat,5.97,17.91,67.49,451.0,"{""proteins"": 5.97, ""fats"": 17.91, ""carbohydrates"": 67.49, ""calories"": 451.0}"
cookies chocolate chip commercially prepared regular higher fat enriched,5.1,24.72,65.36,492.0,"{""proteins"": 5.1, ""fats"": 24.72, ""carbohydrates"": 65.36, ""calories"": 492.0}"
cookies chocolate chip commercially prepared soft-type,3.63,19.77,65.75,444.0,"{""proteins"": 3.63, ""fats"": 19.77, ""carbohydrates"": 65.75, ""calories"": 444.0}"
cookies chocolate chip dry mix,4.6,25.2,66.1,497.0,"{""proteins"": 4.6, ""fats"": 25.2, ""carbohydrates"": 66.1, ""calories"": 497.0}"
cookies chocolate chip refrigerated dough,3.98,21.33,61.02,451.0,"{""proteins"": 3.98, ""fats"": 21.33, ""carbohydrates"": 61.02, ""calories"": 451.0}"
cookies chocolate chip refrigerated dough baked,4.9,22.6,68.2,492.0,"{""proteins"": 4.9, ""fats"": 22.6, ""carbohydrates"": 68.2, ""calories"": 492.0}"
cookies chocolate chip prepared from recipe made with margarine,5.7,28.3,58.4,488.0,"{""proteins"": 5.7, ""fats"": 28.3, ""carbohydrates"": 58.4, ""calories"": 488.0}"
cookies chocolate sandwich with creme filling regular,5.21,19.14,71.0,464.0,"{""proteins"": 5.21, ""fats"": 19.14, ""carbohydrates"": 71.0, ""calories"": 464.0}"
cookies chocolate sandwich with creme filling regular chocolate-coated,3.6,26.4,66.4,481.0,"{""proteins"": 3.6, ""fats"": 26.4, ""carbohydrates"": 66.4, ""calories"": 481.0}"
cookies chocolate sandwich with extra creme filling,4.33,24.52,68.2,497.0,"{""proteins"": 4.33, ""fats"": 24.52, ""carbohydrates"": 68.2, ""calories"": 497.0}"
cookies fig bars,3.7,7.3,70.9,348.0,"{""proteins"": 3.7, ""fats"": 7.3, ""carbohydrates"": 70.9, ""calories"": 348.0}"
cookies fortune,4.2,2.7,84.0,378.0,"{""proteins"": 4.2, ""fats"": 2.7, ""carbohydrates"": 84.0, ""calories"": 378.0}"
cookies gingersnaps,5.6,9.8,76.9,416.0,"{""proteins"": 5.6, ""fats"": 9.8, ""carbohydrates"": 76.9, ""calories"": 416.0}"
cookies graham crackers plain or honey (includes cinnamon),6.69,10.6,77.66,430.0,"{""proteins"": 6.69, ""fats"": 10.6, ""carbohydrates"": 77.66, ""calories"": 430.0}"
cookies graham crackers chocolate-coated,4.0,25.8,66.78,500.0,"{""proteins"": 4.0, ""fats"": 25.8, ""carbohydrates"": 66.78, ""calories"": 500.0}"
cookies ladyfingers with lemon juice and rind,10.6,9.1,59.7,365.0,"{""proteins"": 10.6, ""fats"": 9.1, ""carbohydrates"": 59.7, ""calories"": 365.0}"
cookies marshmallow chocolate-coated (includes marshmallow pies),4.0,16.9,67.7,421.0,"{""proteins"": 4.0, ""fats"": 16.9, ""carbohydrates"": 67.7, ""calories"": 421.0}"
cookies molasses,5.6,12.8,73.8,430.0,"{""proteins"": 5.6, ""fats"": 12.8, ""carbohydrates"": 73.8, ""calories"": 430.0}"
cookies oatmeal commercially prepared regular,6.2,18.1,68.7,450.0,"{""proteins"": 6.2, ""fats"": 18.1, ""carbohydrates"": 68.7, ""calories"": 450.0}"
cookies oatmeal commercially prepared soft-type,6.1,14.7,65.7,409.0,"{""proteins"": 6.1, ""fats"": 14.7, ""carbohydrates"": 65.7, ""calories"": 409.0}"
cookies oatmeal dry mix,6.5,19.2,67.3,462.0,"{""proteins"": 6.5, ""fats"": 19.2, ""carbohydrates"": 67.3, ""calories"": 462.0}"
cookies oatmeal refrigerated dough,5.4,18.9,59.1,424.0,"{""proteins"": 5.4, ""fats"": 18.9, ""carbohydrates"": 59.1, ""calories"": 424.0}"
cookies oatmeal refrigerated dough baked,6.0,21.0,65.7,471.0,"{""proteins"": 6.0, ""fats"": 21.0, ""carbohydrates"": 65.7, ""calories"": 471.0}"
cookies oatmeal prepared from recipe with raisins,6.5,16.2,68.4,435.0,"{""proteins"": 6.5, ""fats"": 16.2, ""carbohydrates"": 68.4, ""calories"": 435.0}"
cookies peanut butter commercially prepared regular,8.92,23.82,58.15,473.0,"{""proteins"": 8.92, ""fats"": 23.82, ""carbohydrates"": 58.15, ""calories"": 473.0}"
cookies peanut butter commercially prepared soft-type,5.3,24.4,57.7,457.0,"{""proteins"": 5.3, ""fats"": 24.4, ""carbohydrates"": 57.7, ""calories"": 457.0}"
cookies peanut butter refrigerated dough,8.2,25.0,52.1,458.0,"{""proteins"": 8.2, ""fats"": 25.0, ""carbohydrates"": 52.1, ""calories"": 458.0}"
cookies peanut butter refrigerated dough baked,9.1,27.5,57.3,503.0,"{""proteins"": 9.1, ""fats"": 27.5, ""carbohydrates"": 57.3, ""calories"": 503.0}"
cookies peanut butter prepared from recipe,9.0,23.8,58.9,475.0,"{""proteins"": 9.0, ""fats"": 23.8, ""carbohydrates"": 58.9, ""calories"": 475.0}"
cookies peanut butter sandwich regular,8.8,21.1,65.6,478.0,"{""proteins"": 8.8, ""fats"": 21.1, ""carbohydrates"": 65.6, ""calories"": 478.0}"
cookies raisin soft-type,4.1,13.6,68.0,401.0,"{""proteins"": 4.1, ""fats"": 13.6, ""carbohydrates"": 68.0, ""calories"": 401.0}"
cookies shortbread commercially prepared plain,5.37,26.22,63.78,514.0,"{""proteins"": 5.37, ""fats"": 26.22, ""carbohydrates"": 63.78, ""calories"": 514.0}"
cookies shortbread commercially prepared pecan,4.9,32.5,58.3,542.0,"{""proteins"": 4.9, ""fats"": 32.5, ""carbohydrates"": 58.3, ""calories"": 542.0}"
cookies brownies dry mix sugar free,2.9,12.5,80.4,426.0,"{""proteins"": 2.9, ""fats"": 12.5, ""carbohydrates"": 80.4, ""calories"": 426.0}"
cookies chocolate chip commercially prepared special dietary,3.9,16.8,73.4,450.0,"{""proteins"": 3.9, ""fats"": 16.8, ""carbohydrates"": 73.4, ""calories"": 450.0}"
cookies chocolate sandwich with creme filling special dietary,4.5,22.1,68.0,461.0,"{""proteins"": 4.5, ""fats"": 22.1, ""carbohydrates"": 68.0, ""calories"": 461.0}"
cookies oatmeal commercially prepared special dietary,4.8,18.0,69.9,449.0,"{""proteins"": 4.8, ""fats"": 18.0, ""carbohydrates"": 69.9, ""calories"": 449.0}"
cookies peanut butter sandwich special dietary,10.0,34.0,50.8,535.0,"{""proteins"": 10.0, ""fats"": 34.0, ""carbohydrates"": 50.8, ""calories"": 535.0}"
cookies sugar wafer with creme filling sugar free,3.57,28.57,66.26,531.0,"{""proteins"": 3.57, ""fats"": 28.57, ""carbohydrates"": 66.26, ""calories"": 531.0}"
cookies sugar commercially prepared regular (includes vanilla),5.35,19.55,67.34,464.0,"{""proteins"": 5.35, ""fats"": 19.55, ""carbohydrates"": 67.34, ""calories"": 464.0}"
cookies sugar refrigerated dough,4.0,19.48,61.22,436.0,"{""proteins"": 4.0, ""fats"": 19.48, ""carbohydrates"": 61.22, ""calories"": 436.0}"
cookies sugar refrigerated dough baked,4.7,23.1,65.6,489.0,"{""proteins"": 4.7, ""fats"": 23.1, ""carbohydrates"": 65.6, ""calories"": 489.0}"
cookies sugar prepared from recipe made with margarine,5.9,23.4,60.0,472.0,"{""proteins"": 5.9, ""fats"": 23.4, ""carbohydrates"": 60.0, ""calories"": 472.0}"
cookies sugar wafers with creme filling regular,3.84,23.24,70.64,502.0,"{""proteins"": 3.84, ""fats"": 23.24, ""carbohydrates"": 70.64, ""calories"": 502.0}"
cookies vanilla sandwich with creme filling,4.5,20.0,72.1,483.0,"{""proteins"": 4.5, ""fats"": 20.0, ""carbohydrates"": 72.1, ""calories"": 483.0}"
puff pastry frozen ready-to-bake baked,7.4,38.5,45.7,558.0,"{""proteins"": 7.4, ""fats"": 38.5, ""carbohydrates"": 45.7, ""calories"": 558.0}"
cookies vanilla wafers lower fat,5.0,15.2,73.6,441.0,"{""proteins"": 5.0, ""fats"": 15.2, ""carbohydrates"": 73.6, ""calories"": 441.0}"
cookies vanilla wafers higher fat,4.9,16.41,72.6,455.0,"{""proteins"": 4.9, ""fats"": 16.41, ""carbohydrates"": 72.6, ""calories"": 455.0}"
crackers cheese regular,10.93,22.74,59.42,489.0,"{""proteins"": 10.93, ""fats"": 22.74, ""carbohydrates"": 59.42, ""calories"": 489.0}"
crackers cheese sandwich-type with peanut butter filling,12.41,25.12,56.74,496.0,"{""proteins"": 12.41, ""fats"": 25.12, ""carbohydrates"": 56.74, ""calories"": 496.0}"
crackers crispbread rye,7.9,1.3,82.2,366.0,"{""proteins"": 7.9, ""fats"": 1.3, ""carbohydrates"": 82.2, ""calories"": 366.0}"
crackers matzo plain,10.0,1.4,83.7,395.0,"{""proteins"": 10.0, ""fats"": 1.4, ""carbohydrates"": 83.7, ""calories"": 395.0}"
crackers matzo egg,12.3,2.1,78.6,391.0,"{""proteins"": 12.3, ""fats"": 2.1, ""carbohydrates"": 78.6, ""calories"": 391.0}"
crackers matzo whole-wheat,13.1,1.5,78.9,351.0,"{""proteins"": 13.1, ""fats"": 1.5, ""carbohydrates"": 78.9, ""calories"": 351.0}"
crackers melba toast plain,12.1,3.2,76.6,390.0,"{""proteins"": 12.1, ""fats"": 3.2, ""carbohydrates"": 76.6, ""calories"": 390.0}"
crackers melba toast rye (includes pumpernickel),11.6,3.4,77.3,389.0,"{""proteins"": 11.6, ""fats"": 3.4, ""carbohydrates"": 77.3, ""calories"": 389.0}"
crackers melba toast wheat,12.9,2.3,76.4,374.0,"{""proteins"": 12.9, ""fats"": 2.3, ""carbohydrates"": 76.4, ""calories"": 374.0}"
crackers milk,7.6,13.77,71.73,446.0,"{""proteins"": 7.6, ""fats"": 13.77, ""carbohydrates"": 71.73, ""calories"": 446.0}"
crackers rusk toast,13.5,7.2,72.3,407.0,"{""proteins"": 13.5, ""fats"": 7.2, ""carbohydrates"": 72.3, ""calories"": 407.0}"
crackers rye sandwich-type with cheese filling,9.2,22.3,60.8,481.0,"{""proteins"": 9.2, ""fats"": 22.3, ""carbohydrates"": 60.8, ""calories"": 481.0}"
crackers rye wafers plain,9.6,0.9,80.4,334.0,"{""proteins"": 9.6, ""fats"": 0.9, ""carbohydrates"": 80.4, ""calories"": 334.0}"
crackers rye wafers seasoned,9.0,9.2,73.8,381.0,"{""proteins"": 9.0, ""fats"": 9.2, ""carbohydrates"": 73.8, ""calories"": 381.0}"
crackers saltines (includes oyster soda soup),9.46,8.64,74.05,418.0,"{""proteins"": 9.46, ""fats"": 8.64, ""carbohydrates"": 74.05, ""calories"": 418.0}"
crackers standard snack-type regular,6.64,26.43,61.3,510.0,"{""proteins"": 6.64, ""fats"": 26.43, ""carbohydrates"": 61.3, ""calories"": 510.0}"
crackers standard snack-type sandwich with cheese filling,9.3,21.1,61.7,477.0,"{""proteins"": 9.3, ""fats"": 21.1, ""carbohydrates"": 61.7, ""calories"": 477.0}"
crackers standard snack-type sandwich with peanut butter filling,11.47,24.54,58.38,494.0,"{""proteins"": 11.47, ""fats"": 24.54, ""carbohydrates"": 58.38, ""calories"": 494.0}"
crackers wheat regular,7.3,16.4,70.73,455.0,"{""proteins"": 7.3, ""fats"": 16.4, ""carbohydrates"": 70.73, ""calories"": 455.0}"
crackers wheat sandwich with cheese filling,9.8,25.0,58.2,497.0,"{""proteins"": 9.8, ""fats"": 25.0, ""carbohydrates"": 58.2, ""calories"": 497.0}"
crackers wheat sandwich with peanut butter filling,13.5,26.7,53.8,495.0,"{""proteins"": 13.5, ""fats"": 26.7, ""carbohydrates"": 53.8, ""calories"": 495.0}"
crackers whole-wheat,10.58,14.13,69.55,427.0,"{""proteins"": 10.58, ""fats"": 14.13, ""carbohydrates"": 69.55, ""calories"": 427.0}"
cracker meal,9.3,1.7,80.9,383.0,"{""proteins"": 9.3, ""fats"": 1.7, ""carbohydrates"": 80.9, ""calories"": 383.0}"
cream puff shell prepared from recipe,9.0,25.9,22.8,360.0,"{""proteins"": 9.0, ""fats"": 25.9, ""carbohydrates"": 22.8, ""calories"": 360.0}"
croissants butter,8.2,21.0,45.8,406.0,"{""proteins"": 8.2, ""fats"": 21.0, ""carbohydrates"": 45.8, ""calories"": 406.0}"
croissants apple,7.4,8.7,37.1,254.0,"{""proteins"": 7.4, ""fats"": 8.7, ""carbohydrates"": 37.1, ""calories"": 254.0}"
croissants cheese,9.2,20.9,47.0,414.0,"{""proteins"": 9.2, ""fats"": 20.9, ""carbohydrates"": 47.0, ""calories"": 414.0}"
croutons plain,11.9,6.6,73.5,407.0,"{""proteins"": 11.9, ""fats"": 6.6, ""carbohydrates"": 73.5, ""calories"": 407.0}"
croutons seasoned,10.8,18.3,63.5,465.0,"{""proteins"": 10.8, ""fats"": 18.3, ""carbohydrates"": 63.5, ""calories"": 465.0}"
danish pastry cinnamon enriched,7.0,22.4,44.6,403.0,"{""proteins"": 7.0, ""fats"": 22.4, ""carbohydrates"": 44.6, ""calories"": 403.0}"
danish pastry cheese,8.0,21.9,37.2,374.0,"{""proteins"": 8.0, ""fats"": 21.9, ""carbohydrates"": 37.2, ""calories"": 374.0}"
danish pastry fruit enriched (includes apple cinnamon raisin lemon raspberry strawberry),5.4,18.5,47.8,371.0,"{""proteins"": 5.4, ""fats"": 18.5, ""carbohydrates"": 47.8, ""calories"": 371.0}"
danish pastry nut (includes almond raisin nut cinnamon nut),7.1,25.2,45.7,430.0,"{""proteins"": 7.1, ""fats"": 25.2, ""carbohydrates"": 45.7, ""calories"": 430.0}"
doughnuts cake-type plain (includes unsugared old-fashioned),5.31,24.93,47.06,434.0,"{""proteins"": 5.31, ""fats"": 24.93, ""carbohydrates"": 47.06, ""calories"": 434.0}"
doughnuts cake-type plain chocolate-coated or frosted,4.93,25.25,51.33,452.0,"{""proteins"": 4.93, ""fats"": 25.25, ""carbohydrates"": 51.33, ""calories"": 452.0}"
doughnuts cake-type plain sugared or glazed,5.2,22.9,50.8,426.0,"{""proteins"": 5.2, ""fats"": 22.9, ""carbohydrates"": 50.8, ""calories"": 426.0}"
doughnuts cake-type chocolate sugared or glazed,4.5,19.9,57.4,417.0,"{""proteins"": 4.5, ""fats"": 19.9, ""carbohydrates"": 57.4, ""calories"": 417.0}"
doughnuts french crullers glazed,3.1,18.3,59.5,412.0,"{""proteins"": 3.1, ""fats"": 18.3, ""carbohydrates"": 59.5, ""calories"": 412.0}"
doughnuts yeast-leavened with creme filling,6.4,24.5,30.0,361.0,"{""proteins"": 6.4, ""fats"": 24.5, ""carbohydrates"": 30.0, ""calories"": 361.0}"
doughnuts yeast-leavened glazed enriched (includes honey buns),6.14,22.7,47.93,421.0,"{""proteins"": 6.14, ""fats"": 22.7, ""carbohydrates"": 47.93, ""calories"": 421.0}"
doughnuts yeast-leavened with jelly filling,5.9,18.7,39.0,340.0,"{""proteins"": 5.9, ""fats"": 18.7, ""carbohydrates"": 39.0, ""calories"": 340.0}"
english muffins plain enriched with ca prop (includes sourdough),8.87,1.69,44.17,227.0,"{""proteins"": 8.87, ""fats"": 1.69, ""carbohydrates"": 44.17, ""calories"": 227.0}"
english muffins plain toasted enriched with calcium propionate (includes sourdough),10.32,2.02,52.65,270.0,"{""proteins"": 10.32, ""fats"": 2.02, ""carbohydrates"": 52.65, ""calories"": 270.0}"
english muffins mixed-grain (includes granola),9.1,1.8,46.3,235.0,"{""proteins"": 9.1, ""fats"": 1.8, ""carbohydrates"": 46.3, ""calories"": 235.0}"
english muffins mixed-grain toasted (includes granola),9.9,1.9,50.3,255.0,"{""proteins"": 9.9, ""fats"": 1.9, ""carbohydrates"": 50.3, ""calories"": 255.0}"
english muffins raisin-cinnamon (includes apple-cinnamon),7.91,1.8,48.1,240.0,"{""proteins"": 7.91, ""fats"": 1.8, ""carbohydrates"": 48.1, ""calories"": 240.0}"
english muffins raisin-cinnamon toasted (includes apple-cinnamon),8.87,2.21,55.04,276.0,"{""proteins"": 8.87, ""fats"": 2.21, ""carbohydrates"": 55.04, ""calories"": 276.0}"
english muffins wheat,8.7,2.0,44.8,223.0,"{""proteins"": 8.7, ""fats"": 2.0, ""carbohydrates"": 44.8, ""calories"": 223.0}"
english muffins wheat toasted,9.4,2.1,48.7,243.0,"{""proteins"": 9.4, ""fats"": 2.1, ""carbohydrates"": 48.7, ""calories"": 243.0}"
english muffins whole-wheat,8.8,2.1,40.4,203.0,"{""proteins"": 8.8, ""fats"": 2.1, ""carbohydrates"": 40.4, ""calories"": 203.0}"
english muffins whole-wheat toasted,9.6,2.3,44.1,221.0,"{""proteins"": 9.6, ""fats"": 2.3, ""carbohydrates"": 44.1, ""calories"": 221.0}"
french toast frozen ready-to-heat,7.4,6.1,32.1,213.0,"{""proteins"": 7.4, ""fats"": 6.1, ""carbohydrates"": 32.1, ""calories"": 213.0}"
french toast prepared from recipe made with low fat (2%) milk,7.7,10.8,25.0,229.0,"{""proteins"": 7.7, ""fats"": 10.8, ""carbohydrates"": 25.0, ""calories"": 229.0}"
hush puppies prepared from recipe,7.7,13.5,46.0,337.0,"{""proteins"": 7.7, ""fats"": 13.5, ""carbohydrates"": 46.0, ""calories"": 337.0}"
ice cream cones cake or wafer-type,8.1,6.9,79.0,417.0,"{""proteins"": 8.1, ""fats"": 6.9, ""carbohydrates"": 79.0, ""calories"": 417.0}"
ice cream cones sugar rolled-type,7.9,3.8,84.1,402.0,"{""proteins"": 7.9, ""fats"": 3.8, ""carbohydrates"": 84.1, ""calories"": 402.0}"
muffins plain prepared from recipe made with low fat (2%) milk,6.9,11.4,41.4,296.0,"{""proteins"": 6.9, ""fats"": 11.4, ""carbohydrates"": 41.4, ""calories"": 296.0}"
muffins blueberry commercially prepared (includes mini-muffins),4.49,16.07,53.0,375.0,"{""proteins"": 4.49, ""fats"": 16.07, ""carbohydrates"": 53.0, ""calories"": 375.0}"
muffins blueberry dry mix,3.48,3.25,61.0,293.0,"{""proteins"": 3.48, ""fats"": 3.25, ""carbohydrates"": 61.0, ""calories"": 293.0}"
muffins blueberry toaster-type,4.6,9.5,53.3,313.0,"{""proteins"": 4.6, ""fats"": 9.5, ""carbohydrates"": 53.3, ""calories"": 313.0}"
muffins blueberry prepared from recipe made with low fat (2%) milk,6.5,10.8,40.7,285.0,"{""proteins"": 6.5, ""fats"": 10.8, ""carbohydrates"": 40.7, ""calories"": 285.0}"
muffins corn commercially prepared,5.9,8.4,51.0,305.0,"{""proteins"": 5.9, ""fats"": 8.4, ""carbohydrates"": 51.0, ""calories"": 305.0}"
muffins corn dry mix prepared,7.4,10.2,49.1,321.0,"{""proteins"": 7.4, ""fats"": 10.2, ""carbohydrates"": 49.1, ""calories"": 321.0}"
muffins corn toaster-type,5.3,11.3,57.9,346.0,"{""proteins"": 5.3, ""fats"": 11.3, ""carbohydrates"": 57.9, ""calories"": 346.0}"
muffins corn prepared from recipe made with low fat (2%) milk,7.1,12.3,44.2,316.0,"{""proteins"": 7.1, ""fats"": 12.3, ""carbohydrates"": 44.2, ""calories"": 316.0}"
muffins oat bran,7.0,7.4,48.3,270.0,"{""proteins"": 7.0, ""fats"": 7.4, ""carbohydrates"": 48.3, ""calories"": 270.0}"
muffins wheat bran dry mix,7.1,12.0,73.0,396.0,"{""proteins"": 7.1, ""fats"": 12.0, ""carbohydrates"": 73.0, ""calories"": 396.0}"
pancakes plain frozen ready-to-heat (includes buttermilk),5.23,6.83,37.75,233.0,"{""proteins"": 5.23, ""fats"": 6.83, ""carbohydrates"": 37.75, ""calories"": 233.0}"
pancakes plain dry mix complete (includes buttermilk),9.77,3.1,73.65,368.0,"{""proteins"": 9.77, ""fats"": 3.1, ""carbohydrates"": 73.65, ""calories"": 368.0}"
pancakes plain dry mix complete prepared,5.2,2.5,36.7,194.0,"{""proteins"": 5.2, ""fats"": 2.5, ""carbohydrates"": 36.7, ""calories"": 194.0}"
pancakes plain dry mix incomplete (includes buttermilk),10.0,1.7,73.6,355.0,"{""proteins"": 10.0, ""fats"": 1.7, ""carbohydrates"": 73.6, ""calories"": 355.0}"
pancakes plain dry mix incomplete prepared,7.8,7.7,28.9,218.0,"{""proteins"": 7.8, ""fats"": 7.7, ""carbohydrates"": 28.9, ""calories"": 218.0}"
pancakes plain prepared from recipe,6.4,9.7,28.3,227.0,"{""proteins"": 6.4, ""fats"": 9.7, ""carbohydrates"": 28.3, ""calories"": 227.0}"
pancakes blueberry prepared from recipe,6.1,9.2,29.0,222.0,"{""proteins"": 6.1, ""fats"": 9.2, ""carbohydrates"": 29.0, ""calories"": 222.0}"
pancakes buckwheat dry mix incomplete,10.9,2.7,71.3,340.0,"{""proteins"": 10.9, ""fats"": 2.7, ""carbohydrates"": 71.3, ""calories"": 340.0}"
pancakes special dietary dry mix,8.9,1.4,73.9,349.0,"{""proteins"": 8.9, ""fats"": 1.4, ""carbohydrates"": 73.9, ""calories"": 349.0}"
pancakes whole-wheat dry mix incomplete,12.8,1.5,71.0,344.0,"{""proteins"": 12.8, ""fats"": 1.5, ""carbohydrates"": 71.0, ""calories"": 344.0}"
pancakes whole-wheat dry mix incomplete prepared,8.5,6.5,29.4,208.0,"{""proteins"": 8.5, ""fats"": 6.5, ""carbohydrates"": 29.4, ""calories"": 208.0}"
pie apple commercially prepared enriched flour,1.9,11.0,34.0,237.0,"{""proteins"": 1.9, ""fats"": 11.0, ""carbohydrates"": 34.0, ""calories"": 237.0}"
pie apple prepared from recipe,2.4,12.5,37.1,265.0,"{""proteins"": 2.4, ""fats"": 12.5, ""carbohydrates"": 37.1, ""calories"": 265.0}"
pie banana cream prepared from mix no-bake type,3.4,12.9,31.6,251.0,"{""proteins"": 3.4, ""fats"": 12.9, ""carbohydrates"": 31.6, ""calories"": 251.0}"
pie banana cream prepared from recipe,4.4,13.6,32.9,269.0,"{""proteins"": 4.4, ""fats"": 13.6, ""carbohydrates"": 32.9, ""calories"": 269.0}"
pie blueberry commercially prepared,1.8,10.0,34.9,232.0,"{""proteins"": 1.8, ""fats"": 10.0, ""carbohydrates"": 34.9, ""calories"": 232.0}"
pie blueberry prepared from recipe,2.7,11.9,33.5,245.0,"{""proteins"": 2.7, ""fats"": 11.9, ""carbohydrates"": 33.5, ""calories"": 245.0}"
pie cherry commercially prepared,2.0,11.0,39.8,260.0,"{""proteins"": 2.0, ""fats"": 11.0, ""carbohydrates"": 39.8, ""calories"": 260.0}"
pie cherry prepared from recipe,2.8,12.2,38.5,270.0,"{""proteins"": 2.8, ""fats"": 12.2, ""carbohydrates"": 38.5, ""calories"": 270.0}"
pie chocolate creme commercially prepared,4.15,22.41,38.44,353.0,"{""proteins"": 4.15, ""fats"": 22.41, ""carbohydrates"": 38.44, ""calories"": 353.0}"
pie chocolate mousse prepared from mix no-bake type,3.5,15.4,29.6,260.0,"{""proteins"": 3.5, ""fats"": 15.4, ""carbohydrates"": 29.6, ""calories"": 260.0}"
pie coconut creme commercially prepared,2.1,16.6,37.3,298.0,"{""proteins"": 2.1, ""fats"": 16.6, ""carbohydrates"": 37.3, ""calories"": 298.0}"
pie coconut cream prepared from mix no-bake type,2.8,17.6,28.5,276.0,"{""proteins"": 2.8, ""fats"": 17.6, ""carbohydrates"": 28.5, ""calories"": 276.0}"
pie coconut custard commercially prepared,5.9,13.2,30.2,260.0,"{""proteins"": 5.9, ""fats"": 13.2, ""carbohydrates"": 30.2, ""calories"": 260.0}"
pie egg custard commercially prepared,5.5,11.6,20.8,210.0,"{""proteins"": 5.5, ""fats"": 11.6, ""carbohydrates"": 20.8, ""calories"": 210.0}"
pie fried pies fruit,3.0,16.1,42.6,316.0,"{""proteins"": 3.0, ""fats"": 16.1, ""carbohydrates"": 42.6, ""calories"": 316.0}"
pie lemon meringue commercially prepared,1.5,8.7,47.2,268.0,"{""proteins"": 1.5, ""fats"": 8.7, ""carbohydrates"": 47.2, ""calories"": 268.0}"
pie lemon meringue prepared from recipe,3.8,12.9,39.1,285.0,"{""proteins"": 3.8, ""fats"": 12.9, ""carbohydrates"": 39.1, ""calories"": 285.0}"
pie mince prepared from recipe,2.6,10.8,48.0,289.0,"{""proteins"": 2.6, ""fats"": 10.8, ""carbohydrates"": 48.0, ""calories"": 289.0}"
pie peach,1.9,10.0,32.9,224.0,"{""proteins"": 1.9, ""fats"": 10.0, ""carbohydrates"": 32.9, ""calories"": 224.0}"
pie pecan commercially prepared,4.5,16.69,59.61,407.0,"{""proteins"": 4.5, ""fats"": 16.69, ""carbohydrates"": 59.61, ""calories"": 407.0}"
pie pecan prepared from recipe,4.9,22.2,52.2,412.0,"{""proteins"": 4.9, ""fats"": 22.2, ""carbohydrates"": 52.2, ""calories"": 412.0}"
pie pumpkin commercially prepared,3.9,9.75,34.83,243.0,"{""proteins"": 3.9, ""fats"": 9.75, ""carbohydrates"": 34.83, ""calories"": 243.0}"
pie pumpkin prepared from recipe,4.5,9.3,26.4,204.0,"{""proteins"": 4.5, ""fats"": 9.3, ""carbohydrates"": 26.4, ""calories"": 204.0}"
pie vanilla cream prepared from recipe,4.8,14.4,32.6,278.0,"{""proteins"": 4.8, ""fats"": 14.4, ""carbohydrates"": 32.6, ""calories"": 278.0}"
pie crust standard-type dry mix,6.9,31.4,52.1,518.0,"{""proteins"": 6.9, ""fats"": 31.4, ""carbohydrates"": 52.1, ""calories"": 518.0}"
pie crust standard-type dry mix prepared baked,6.7,30.4,50.4,501.0,"{""proteins"": 6.7, ""fats"": 30.4, ""carbohydrates"": 50.4, ""calories"": 501.0}"
pie crust standard-type frozen ready-to-bake enriched,6.16,26.07,48.62,457.0,"{""proteins"": 6.16, ""fats"": 26.07, ""carbohydrates"": 48.62, ""calories"": 457.0}"
pie crust standard-type frozen ready-to-bake enriched baked,6.5,28.59,56.24,508.0,"{""proteins"": 6.5, ""fats"": 28.59, ""carbohydrates"": 56.24, ""calories"": 508.0}"
pie crust standard-type prepared from recipe baked,6.4,34.6,47.5,527.0,"{""proteins"": 6.4, ""fats"": 34.6, ""carbohydrates"": 47.5, ""calories"": 527.0}"
puff pastry frozen ready-to-bake,7.3,38.1,45.1,551.0,"{""proteins"": 7.3, ""fats"": 38.1, ""carbohydrates"": 45.1, ""calories"": 551.0}"
phyllo dough,7.1,6.0,52.6,299.0,"{""proteins"": 7.1, ""fats"": 6.0, ""carbohydrates"": 52.6, ""calories"": 299.0}"
popovers dry mix enriched,10.4,4.3,71.0,371.0,"{""proteins"": 10.4, ""fats"": 4.3, ""carbohydrates"": 71.0, ""calories"": 371.0}"
rolls dinner plain commercially prepared (includes brown-and-serve),10.86,6.47,52.04,310.0,"{""proteins"": 10.86, ""fats"": 6.47, ""carbohydrates"": 52.04, ""calories"": 310.0}"
rolls dinner egg,9.5,6.4,52.0,307.0,"{""proteins"": 9.5, ""fats"": 6.4, ""carbohydrates"": 52.0, ""calories"": 307.0}"
rolls dinner oat bran,9.5,4.6,40.2,236.0,"{""proteins"": 9.5, ""fats"": 4.6, ""carbohydrates"": 40.2, ""calories"": 236.0}"
rolls dinner rye,10.3,3.4,53.1,286.0,"{""proteins"": 10.3, ""fats"": 3.4, ""carbohydrates"": 53.1, ""calories"": 286.0}"
rolls dinner wheat,8.6,6.3,46.0,273.0,"{""proteins"": 8.6, ""fats"": 6.3, ""carbohydrates"": 46.0, ""calories"": 273.0}"
